,city,province,country,confirm,heal,dead,suspect,update_time
417,乌兰察布,内蒙古,中国,3,2,0,0,2020-02-27 21:02:04
418,乌海,内蒙古,中国,2,1,0,0,2020-02-27 21:02:04
419,兴安盟乌兰浩特,内蒙古,中国,1,0,0,0,2020-02-27 21:02:04
420,银川,宁夏,中国,33,30,0,0,2020-02-27 21:02:04
421,吴忠,宁夏,中国,28,25,0,0,2020-02-27 21:02:04
422,固原,宁夏,中国,5,5,0,0,2020-02-27 21:02:04
423,中卫,宁夏,中国,4,3,0,0,2020-02-27 21:02:04
424,石嘴山,宁夏,中国,1,1,0,0,2020-02-27 21:02:04
425,宁东管委会,宁夏,中国,1,1,0,0,2020-02-27 21:02:04
426,地区待确认,台湾,中国,32,5,1,0,2020-02-27 21:02:04
427,西宁,青海,中国,15,15,0,0,2020-02-27 21:02:04
428,海北州,青海,中国,3,3,0,0,2020-02-27 21:02:04
429,地区待确认,澳门,中国,10,7,0,0,2020-02-27 21:02:04
430,地区待确认,西藏,中国,1,1,0,0,2020-02-27 21:02:04
